	Cell Line HMS LINCS ID	Cell Line Name	Protein HMS LINCS ID	Protein Name	Ligand Concentration	Conc unit	Measured pAkt:10min log10(a.u.)	Measured pAkt:30min log10(a.u.)	Measured pAkt:90min log10(a.u.)	Measured pErk:10min log10(a.u.)	Measured pErk:30min log10(a.u.)	Measured pErk:90min log10(a.u.)	Control pAkt (a.u.)	Control pErk (a.u.)
119	50327	MDA-MB-134-VI	200863.0	EFNA1	100.0	ng/ml	2.92542606595	2.92542606595	3.10922543367	3.32725489562	3.10648395564	3.24946056762	2.92542606595	3.16092149777
120	50328	MDA-MB-157	200863.0	EFNA1	1.0	ng/ml	3.02935617679	3.02935617679	3.02935617679	2.4021874171	2.4021874171	2.4021874171	3.02935617679	2.4021874171
121	50328	MDA-MB-157	200863.0	EFNA1	100.0	ng/ml	3.02935617679	3.02935617679	3.21077719006	2.4021874171	2.4021874171	2.4021874171	3.02935617679	2.4021874171
122	50329	MDA-MB-175-VII	200863.0	EFNA1	1.0	ng/ml	4.09971450647	4.15651465474	4.19245543663	4.36564456475	4.41149241209	4.43772582001	4.10201687803	4.3688720348
123	50329	MDA-MB-175-VII	200863.0	EFNA1	100.0	ng/ml	4.12065097874	4.13779324842	4.21748928732	4.3926636678	4.38124107104	4.43355544909	4.10201687803	4.3688720348
124	50331	MDA-MB-361	200863.0	EFNA1	1.0	ng/ml	3.28168886163	3.07182274783	3.09657912831	2.22055261987	2.22055261987	2.22055261987	3.26566081019	2.39855106522
125	50331	MDA-MB-361	200863.0	EFNA1	100.0	ng/ml	3.49096420258	2.87576078244	3.27434838881	3.27881714044	2.22055261987	2.22055261987	3.26566081019	2.39855106522
126	50332	MDA-MB-415	200863.0	EFNA1	1.0	ng/ml	4.51949154111	4.58473089669	4.61028170433	2.10695542564	2.10229646615	1.63785982283	4.39410824228	1.9022857981
127	50332	MDA-MB-415	200863.0	EFNA1	100.0	ng/ml	4.52294490935	4.63216443444	4.53756752166	1.63785982283	2.17558718504	2.68198162088	4.39410824228	1.9022857981
128	50333	MDA-MB-436	200863.0	EFNA1	1.0	ng/ml	3.4689258565	3.27399611376	3.38387314843	3.37300161297	3.37300161297	3.37300161297	3.58954403328	3.37300161297
129	50333	MDA-MB-436	200863.0	EFNA1	100.0	ng/ml	3.52876865515	3.07402389819	3.48868718761	3.37300161297	3.37300161297	3.37300161297	3.58954403328	3.37300161297
130	50334	MDA-MB-453	200863.0	EFNA1	1.0	ng/ml	3.81986723296	3.73542714379	3.77060895956	3.20634707902	2.96665413259	3.25051929312	3.79969142791	3.30972063602
131	50334	MDA-MB-453	200863.0	EFNA1	100.0	ng/ml	3.80071000032	3.68061485896	3.86472497181	3.1432275212	2.77251606869	3.40920773615	3.79969142791	3.30972063602
132	50335	MDA-MB-468	200863.0	EFNA1	1.0	ng/ml	4.31379614627	4.24337743506	4.32630572558	3.55438387474	3.64930876131	3.56373506152	4.32808310136	3.54806643359
133	50335	MDA-MB-468	200863.0	EFNA1	100.0	ng/ml	4.31278906478	4.28100437542	4.3566880816	3.64628783354	3.51377409948	3.62371931484	4.32808310136	3.54806643359
134	50541	T47D	200863.0	EFNA1	1.0	ng/ml	3.80928834732	3.74317309524	3.74657815732	2.93648056594	3.0436498783	3.14051589923	3.76587462813	2.98947028598
135	50541	T47D	200863.0	EFNA1	100.0	ng/ml	3.86585761818	3.740928404	3.82675300385	3.33111254677	3.00078406194	3.3602269295	3.76587462813	2.98947028598
136	50556	UACC-812	200863.0	EFNA1	1.0	ng/ml	3.46614665667	3.55395532217	3.57305016039	4.40285612188	4.42782704896	4.43397703014	3.58664018187	4.4136707513
137	50556	UACC-812	200863.0	EFNA1	100.0	ng/ml	3.55109937107	3.54092243872	3.6014079518	4.41630878603	4.40425779214	4.44436972345	3.58664018187	4.4136707513
138	50557	UACC-893	200863.0	EFNA1	1.0	ng/ml	4.37650788414	4.40469140202	4.4651888034	3.31661983265	3.31661983265	3.31661983265	4.48535528683	3.31661983265
139	50557	UACC-893	200863.0	EFNA1	100.0	ng/ml	4.40091856848	4.37374165099	4.39002784401	3.31661983265	3.31661983265	3.31661983265	4.48535528683	3.31661983265
